# 담화재(damhwa) — 번호	슬러그	파일	표시w	표시h	생성w	생성h	설명
d31	damhwa	menu-bg-1.jpg	1440	320	2400	533	전체메뉴 띠 배경 1 — 담화재 전경 · 명암: 레퍼런스 같은 칸 사진 평균 57
d32	damhwa	menu-bg-2.jpg	1440	320	2400	533	전체메뉴 띠 배경 2 — 객실 · 명암: 레퍼런스 같은 칸 사진 평균 120
d33	damhwa	menu-bg-3.jpg	1440	320	2400	533	전체메뉴 띠 배경 3 — 스페셜(온욕) · 명암: 레퍼런스 같은 칸 사진 평균 75
d34	damhwa	menu-bg-4.jpg	1440	320	2400	533	전체메뉴 띠 배경 4 — 체험 · 명암: 레퍼런스 같은 칸 사진 평균 77
d35	damhwa	menu-bg-5.jpg	1440	320	2400	533	전체메뉴 띠 배경 5 — 예약(로비) · 명암: 레퍼런스 같은 칸 사진 평균 47
d36	damhwa	menu-bg-6.jpg	1440	320	2400	533	전체메뉴 띠 배경 6 — 프로모션 · 명암: 레퍼런스 같은 칸 사진 평균 65
d37	damhwa	about-top.jpg	1440	900	2400	1500	소개 상단 영상 포스터 — 운무 낀 산과 한옥 지붕 · 명암: 레퍼런스 같은 칸 사진 평균 104
d38	damhwa	about-bg.jpg	1440	1130	2400	1883	소개 본문 배경 — 설산 능선과 구름(위쪽 어두운 하늘) · 명암: 레퍼런스 같은 칸 사진 평균 104
d39	damhwa	about-slide-1.jpg	205	330	410	660	소개 슬라이드 1 — 중정 수공간 · 명암: 레퍼런스 같은 칸 사진 평균 57
d40	damhwa	about-slide-2.jpg	205	330	410	660	소개 슬라이드 2 — 툇마루를 걷는 사람 · 명암: 레퍼런스 같은 칸 사진 평균 99
d41	damhwa	about-slide-3.jpg	205	330	410	660	소개 슬라이드 3 — 기와 지붕 선 · 명암: 레퍼런스 같은 칸 사진 평균 96
d42	damhwa	about-slide-4.jpg	205	330	410	660	소개 슬라이드 4 — 창 너머 꽃나무 · 명암: 레퍼런스 같은 칸 사진 평균 103
d43	damhwa	about-slide-5.jpg	205	330	410	660	소개 슬라이드 5 — 실내 온욕탕 · 명암: 레퍼런스 같은 칸 사진 평균 70
d44	damhwa	about-slide-6.jpg	205	330	410	660	소개 슬라이드 6 — 다실에 앉은 사람 · 명암: 레퍼런스 같은 칸 사진 평균 84
d45	damhwa	about-slide-7.jpg	205	330	410	660	소개 슬라이드 7 — 돌담길 · 명암: 레퍼런스 같은 칸 사진 평균 68
d46	damhwa	about-slide-8.jpg	205	330	410	660	소개 슬라이드 8 — 저녁 조명의 처마 · 명암: 레퍼런스 같은 칸 사진 평균 125
d47	damhwa	about-video.jpg	1440	900	2400	1500	소개 중간 영상 포스터 — 한옥 마당을 스치는 바람(오른쪽 어둡게) · 명암: 레퍼런스 같은 칸 사진 평균 68
d48	damhwa	season-spring.jpg	310	340	620	680	사계 — 봄: 꽃나무 길 · 명암: 레퍼런스 같은 칸 사진 평균 153
d49	damhwa	season-summer.jpg	480	550	960	1100	사계 — 여름: 푸른 숲과 중정 · 명암: 레퍼런스 같은 칸 사진 평균 120
d50	damhwa	season-autumn.jpg	310	340	620	680	사계 — 가을: 단풍 든 담장 · 명암: 레퍼런스 같은 칸 사진 평균 62
d51	damhwa	season-winter.jpg	415	480	830	960	사계 — 겨울: 눈 쌓인 마당 · 명암: 레퍼런스 같은 칸 사진 평균 127
d52	damhwa	room-top.jpg	1440	900	2400	1500	객실 상단 영상 포스터 — 청연 객실 전경 · 명암: 레퍼런스 같은 칸 사진 평균 73
d53	damhwa	room-main.jpg	415	490	830	980	객실 대표 세로 사진 — 침대와 간접 조명 · 명암: 레퍼런스 같은 칸 사진 평균 131
d54	damhwa	room-gallery-1.jpg	1440	1080	2400	1800	객실 갤러리 1 — 노천 온욕 · 명암: 레퍼런스 같은 칸 사진 평균 32
d55	damhwa	room-gallery-2.jpg	1440	1080	2400	1800	객실 갤러리 2 — 다실과 다구 · 명암: 레퍼런스 같은 칸 사진 평균 81
d56	damhwa	room-gallery-3.jpg	1440	1080	2400	1800	객실 갤러리 3 — 창가 휴식 공간 · 명암: 레퍼런스 같은 칸 사진 평균 73
d57	damhwa	room-gallery-4.jpg	1440	1080	2400	1800	객실 갤러리 4 — 소품과 선물 상자 · 명암: 레퍼런스 같은 칸 사진 평균 83
d58	damhwa	room-slide-1.jpg	1260	700	2400	1333	객실 슬라이드 1 — 트윈 침대와 거실 · 명암: 레퍼런스 같은 칸 사진 평균 112
d59	damhwa	room-slide-2.jpg	1260	700	2400	1333	객실 슬라이드 2 — 욕실 · 명암: 레퍼런스 같은 칸 사진 평균 122
d60	damhwa	room-slide-3.jpg	1260	700	2400	1333	객실 슬라이드 3 — 개별 정원 · 명암: 레퍼런스 같은 칸 사진 평균 92
d61	damhwa	room-slide-4.jpg	1260	700	2400	1333	객실 슬라이드 4 — 다실 · 명암: 레퍼런스 같은 칸 사진 평균 90
d62	damhwa	room-slide-5.jpg	1260	700	2400	1333	객실 슬라이드 5 — 파우더룸 · 명암: 레퍼런스 같은 칸 사진 평균 119
d63	damhwa	room-slide-6.jpg	1260	700	2400	1333	객실 슬라이드 6 — 야간 조명 외관 · 명암: 레퍼런스 같은 칸 사진 평균 108
d64	damhwa	room-plan.jpg	1200	800	2400	1600	객실 평면도 팝업 이미지 — 청연 평면도(도면)
d65	damhwa	location-top.jpg	1440	900	2400	1500	오시는 길 상단 — 벚꽃 가지와 담화재 담장·현판 · 명암: 레퍼런스 같은 칸 사진 평균 118
d66	damhwa	location-route.png	1156	1049	2312	2098	오시는 길 약도 일러스트(투명 PNG, 흰 선화) — 산 능선·권역별 소요시간
d67	damhwa	location-map.jpg	262	262	524	524	약도 지도 이미지(샘플) — 실제 지도 캡처로 교체
d68	damhwa	reservation-top.jpg	1440	800	2400	1333	예약 안내 상단 — 도자기가 진열된 라운지(아래로 검게 그라데이션) · 명암: 레퍼런스 같은 칸 사진 평균 71
d69	damhwa	reservation-1.jpg	371	371	742	742	예약 안내 좌측 1 — 달항아리 정물(이용안내) · 명암: 레퍼런스 같은 칸 사진 평균 78
d70	damhwa	reservation-2.jpg	371	371	742	742	예약 안내 좌측 2 — 찻상(예약안내) · 명암: 레퍼런스 같은 칸 사진 평균 166
d71	damhwa	reservation-3.jpg	371	371	742	742	예약 안내 좌측 3 — 객실 침구(객실요금) · 명암: 레퍼런스 같은 칸 사진 평균 52
d72	damhwa	reservation-4.jpg	371	371	742	742	예약 안내 좌측 4 — 현관 등(환불사항) · 명암: 레퍼런스 같은 칸 사진 평균 34
d73	damhwa	reservation-thumb-1.jpg	312	359	624	718	예약 하단 사진 1 — 눈 내린 마당 · 명암: 레퍼런스 같은 칸 사진 평균 135
d74	damhwa	reservation-thumb-2.jpg	473	543	946	1086	예약 하단 사진 2 — 좌식 다실 · 명암: 레퍼런스 같은 칸 사진 평균 55
d75	damhwa	reservation-thumb-3.jpg	312	359	624	718	예약 하단 사진 3 — 벽 장식 소품 · 명암: 레퍼런스 같은 칸 사진 평균 144
