# 번호	슬러그	파일	표시폭	표시높이	원본폭	원본높이	톤	무엇을 찍은 사진인가
048	clinic-i	footer-bg.jpg	1440	828	1920	1104	warm	모래색 한지 결 텍스처, 부드러운 물결 무늬
049	clinic-i	map.jpg	760	360	1520	720	light	지도 캡처 자리 (실제 납품 때는 지도 API 로 바꾼다)
050	clinic-i	sitemap-bg.jpg	1440	900	1920	1200	dark	짙은 갈색 원목 결 텍스처
051	clinic-i	mega-1.jpg	576	480	1152	960	warm	목·어깨를 짚어 보는 한의사 손
052	clinic-i	mega-2.jpg	576	480	1152	960	warm	줄자·체중계 정물
053	clinic-i	mega-3.jpg	576	480	1152	960	warm	한약재가 담긴 백자 그릇 정물
054	clinic-i	mega-4.jpg	576	480	1152	960	warm	차량 안전벨트 클로즈업
055	clinic-i	mega-5.jpg	576	480	1152	960	warm	진료 기록 차트와 펜
056	clinic-i	mega-6.jpg	576	480	1152	960	warm	한의원 로비 소파
057	clinic-i	../og.jpg	600	315	1200	630	warm	공유 미리보기 — 로비와 로고
058	clinic-i	h-diagnosis.jpg	1440	900	2880	1800	warm	초음파 화면을 보며 환자 어깨를 검사하는 한의사, 어두운 진료실 (diagnosis.html)
059	clinic-i	h-back.jpg	1440	900	2880	1800	warm	허리에 손을 얹고 선 남성 뒷모습, 따뜻한 조명 (back-pain.html)
060	clinic-i	h-neck.jpg	1440	900	2880	1800	warm	책상에서 목 뒤를 주무르는 직장인 옆모습, 창가 자연광 (neck-pain.html)
061	clinic-i	h-shoulder.jpg	1440	900	2880	1800	warm	어깨를 감싸 쥔 중년 여성 뒷모습, 부드러운 역광 (shoulder-pain.html)
062	clinic-i	h-limb.jpg	1440	900	2880	1800	warm	손목을 가볍게 감싸 쥔 손 클로즈업, 따뜻한 베이지 배경 (limb-pain.html)
063	clinic-i	h-posture.jpg	1440	900	2880	1800	warm	창가에서 바른 자세로 선 여성 옆모습, 밝은 톤 (posture.html)
064	clinic-i	h-rehab.jpg	1440	900	2880	1800	warm	물리치료 공간에서 무릎을 천천히 굽혔다 펴는 환자와 돕는 손 (rehab.html)
065	clinic-i	h-detox.jpg	1440	900	2880	1800	warm	창가 소파에서 따뜻한 차를 마시는 여성, 부드러운 니트 (detox.html)
066	clinic-i	h-diet-body.jpg	1440	900	2880	1800	warm	쇼핑백을 들고 웃는 여성, 흰 셔츠, 밝은 거리 (diet-body-type.html)
067	clinic-i	h-diet.jpg	1440	900	2880	1800	warm	허리를 줄자로 재는 여성, 밝은 거실, 얼굴 없이 (diet-principle.html)
068	clinic-i	h-diet-situation.jpg	1440	900	2880	1800	warm	요가 매트 위에서 스트레칭하는 여성, 따뜻한 오후 햇살 (diet-situation.html)
069	clinic-i	h-lipo.jpg	1440	900	2880	1800	warm	팔 뒤쪽에 가는 약침을 놓는 장갑 낀 손, 부드러운 조명 (lipolysis-injection.html)
070	clinic-i	h-skin.jpg	1440	900	2880	1800	warm	맑은 피부의 여성 옆얼굴 클로즈업, 부드러운 자연광 (beauty-skin.html)
071	clinic-i	h-herbal.jpg	1440	900	2880	1800	warm	고운 모래 위에 놓인 한약 파우치, 따뜻한 역광 (custom-herbal.html)
072	clinic-i	h-tonic.jpg	1440	900	2880	1800	warm	원목 선반 위 보약 파우치와 스틱 포장, 따뜻한 햇살 (immune-tonic.html)
073	clinic-i	h-internal.jpg	1440	900	2880	1800	warm	초음파 장비 앞에서 모니터를 보는 한의사 옆모습 (internal-medicine.html)
074	clinic-i	h-mind.jpg	1440	900	2880	1800	warm	창가 앞 방석에 앉아 명상하는 사람의 뒷모습, 정원이 보이는 한옥 (mental-health.html)
075	clinic-i	h-bruise.jpg	1440	900	2880	1800	warm	유리 위로 번지는 붉은 잉크 방울 추상 사진 (bruise-care.html)
076	clinic-i	h-car.jpg	1440	900	2880	1800	warm	운전대를 잡은 손, 흐린 도심 도로가 비치는 차 안 (traffic-injury.html)
077	clinic-i	h-car-sym.jpg	1440	900	2880	1800	warm	차 안에서 목을 감싸 쥔 여성, 어두운 톤 (traffic-symptoms.html)
078	clinic-i	h-about.jpg	1440	900	2880	1800	warm	들판 길을 손잡고 걷는 노부부 뒷모습, 해질녘 (about.html)
079	clinic-i	p-ba-skin-a.jpg	220	293	440	586	light	피부 질환 치료 전 (before-after.html)
080	clinic-i	p-ba-skin-b.jpg	220	293	440	586	light	피부 질환 치료 후 (before-after.html)
081	clinic-i	p-view-1.jpg	900	500	1800	1000	warm	팔에 든 멍을 살펴보는 모습 (community-view.html)
082	clinic-i	h-doctors.jpg	1440	900	2880	1800	warm	초음파 장비 앞에 앉아 모니터를 보는 한의사, 어두운 진료실 (doctors.html)
083	clinic-i	p-doc-1.jpg	420	540	840	1080	light	한도윤 대표원장 프로필 사진 (doctors.html)
084	clinic-i	p-doc-2.jpg	420	540	840	1080	light	서지안 원장 프로필 사진 (doctors.html)
085	clinic-i	p-doc-3.jpg	420	540	840	1080	light	민재하 원장 프로필 사진 (doctors.html)
086	clinic-i	p-loc-1.jpg	420	560	840	1120	warm	원목과 식물로 꾸민 한의원 복도 (location.html)
087	clinic-i	p-loc-map.jpg	1280	520	2560	1040	light	소담한의원 위치 지도 (location.html)
088	clinic-i	p-rev-1.jpg	400	250	800	500	warm	치료 후기 대표 사진 (reviews.html)
089	clinic-i	p-rev-2.jpg	400	250	800	500	warm	치료 후기 대표 사진 (reviews.html)
090	clinic-i	p-rev-3.jpg	400	250	800	500	warm	치료 후기 대표 사진 (reviews.html)
091	clinic-i	p-rev-4.jpg	400	250	800	500	warm	치료 후기 대표 사진 (reviews.html)
092	clinic-i	p-rev-5.jpg	400	250	800	500	warm	치료 후기 대표 사진 (reviews.html)
093	clinic-i	p-rev-6.jpg	400	250	800	500	warm	치료 후기 대표 사진 (reviews.html)
094	clinic-i	uph-bk-mid.jpg	410	620	820	1240	warm	허리뼈 구조 그림 (back-pain.html)
095	clinic-i	bh-bk-1.jpg	316	460	632	920	warm	구부정하게 앉아 노트북을 보는 사람 (back-pain.html)
096	clinic-i	bh-bk-2.jpg	316	460	632	920	warm	체중계 위에 선 발 (back-pain.html)
097	clinic-i	bh-bk-3.jpg	316	460	632	920	warm	소파에 오래 누워 있는 모습 (back-pain.html)
098	clinic-i	bh-bk-4.jpg	316	460	632	920	warm	다리를 꼬고 앉은 사람 (back-pain.html)
099	clinic-i	prg-chuna.jpg	310	430	620	860	warm	추나 요법으로 경추 정렬을 조정하는 장면 (back-pain.html)
100	clinic-i	prg-yakchim.jpg	310	430	620	860	warm	약침 시술 준비 장면 (back-pain.html)
101	clinic-i	prg-jeonchim.jpg	310	430	620	860	warm	전침 기기에 연결된 침 치료 장면 (back-pain.html)
102	clinic-i	prg-us.jpg	310	430	620	860	warm	초음파 화면을 보며 시술 위치를 확인하는 손 (back-pain.html)
103	clinic-i	prg-maesun.jpg	310	430	620	860	warm	매선 시술 도구가 놓인 트레이 (back-pain.html)
104	clinic-i	prg-dochim.jpg	310	430	620	860	warm	도침 치료를 준비하는 한의사의 손 (back-pain.html)
105	clinic-i	prg-acu.jpg	310	430	620	860	warm	등 부위에 놓인 침 (back-pain.html)
106	clinic-i	prg-physio.jpg	310	430	620	860	warm	물리 치료 기기가 놓인 치료실 (back-pain.html)
107	clinic-i	prg-herb.jpg	310	430	620	860	warm	한약 재료가 담긴 나무 그릇 (back-pain.html)
108	clinic-i	prg-eswt.jpg	310	430	620	860	warm	어깨에 체외 충격파 기기를 대는 장면 (back-pain.html)
109	clinic-i	step-bk-1.jpg	746	316	1492	632	warm	맥을 짚으며 문진하는 한의사 (back-pain.html)
110	clinic-i	step-bk-2.jpg	746	316	1492	632	warm	초음파 검사 화면과 탐촉자 (back-pain.html)
111	clinic-i	step-bk-3.jpg	746	316	1492	632	warm	자세 교정 운동을 안내하는 장면 (back-pain.html)
112	clinic-i	dx-precise.jpg	560	420	1120	840	warm	초음파 화면을 보며 결과를 설명하는 한의사 (diagnosis.html)
113	clinic-i	reg-neck.jpg	380	500	760	1000	warm	목 통증 치료 안내 사진 (diagnosis.html)
114	clinic-i	reg-shoulder.jpg	380	500	760	1000	warm	어깨 통증 치료 안내 사진 (diagnosis.html)
115	clinic-i	reg-back.jpg	380	500	760	1000	warm	허리 통증 치료 안내 사진 (diagnosis.html)
116	clinic-i	reg-arm.jpg	380	500	760	1000	warm	팔 · 손목 통증 치료 안내 사진 (diagnosis.html)
117	clinic-i	reg-knee.jpg	380	500	760	1000	warm	무릎 · 발목 통증 치료 안내 사진 (diagnosis.html)
118	clinic-i	reg-posture.jpg	380	500	760	1000	warm	체형 통증 치료 안내 사진 (diagnosis.html)
119	clinic-i	dxb-1.jpg	320	320	640	640	warm	검사 결과지를 함께 보는 상담 장면 (diagnosis.html)
120	clinic-i	dxb-2.jpg	320	320	640	640	warm	체형 분석 화면을 가리키는 손 (diagnosis.html)
121	clinic-i	three-1.jpg	440	330	880	660	warm	자세를 측정하는 체형 분석 장면 (diagnosis.html)
122	clinic-i	three-2.jpg	440	330	880	660	warm	치료 전후 검사 결과를 비교하는 화면 (diagnosis.html)
123	clinic-i	three-3.jpg	440	330	880	660	warm	스트레칭 방법을 안내받는 환자 (diagnosis.html)
124	clinic-i	notice-1.jpg	414	580	828	1160	light	추석 연휴 진료 안내 (index.html)
125	clinic-i	notice-2.jpg	414	580	828	1160	light	가을맞이 체형 분석 무료 체험 (index.html)
126	clinic-i	notice-3.jpg	414	580	828	1160	light	다이어트 첫 상담 체성분 검사 안내 (index.html)
127	clinic-i	notice-4.jpg	414	580	828	1160	light	통증 정밀 검사 안내 (index.html)
128	clinic-i	notice-5.jpg	414	580	828	1160	light	교통사고 치료 자동차 보험 안내 (index.html)
129	clinic-i	uph2-arm.jpg	310	460	620	920	warm	팔꿈치 바깥쪽을 감싼 손 (limb-pain.html)
130	clinic-i	uph2-wrist.jpg	310	460	620	920	warm	손목을 주무르는 손 (limb-pain.html)
131	clinic-i	uph2-knee.jpg	310	460	620	920	warm	무릎을 감싸 쥔 두 손 (limb-pain.html)
132	clinic-i	uph2-ankle.jpg	310	460	620	920	warm	발목을 짚고 앉은 사람 (limb-pain.html)
133	clinic-i	lt-bg-1.jpg	1160	700	2320	1400	warm	장식 사진 (limb-pain.html)
134	clinic-i	lt-bg-2.jpg	1160	700	2320	1400	warm	장식 사진 (limb-pain.html)
135	clinic-i	step-limb-1.jpg	746	316	1492	632	warm	맥을 짚으며 문진하는 한의사 (limb-pain.html)
136	clinic-i	step-limb-2.jpg	746	316	1492	632	warm	초음파 검사 화면과 탐촉자 (limb-pain.html)
137	clinic-i	step-limb-3.jpg	746	316	1492	632	warm	자세 교정 운동을 안내하는 장면 (limb-pain.html)
138	clinic-i	sync-neck-1.jpg	620	740	1240	1480	warm	모니터 앞에서 고개를 앞으로 내민 자세 (neck-pain.html)
139	clinic-i	sync-neck-2.jpg	620	740	1240	1480	warm	팔을 주무르며 저림을 느끼는 사람 (neck-pain.html)
140	clinic-i	sync-neck-3.jpg	620	740	1240	1480	warm	승모근을 손으로 누르는 장면 (neck-pain.html)
141	clinic-i	sync-neck-4.jpg	620	740	1240	1480	warm	고개를 돌리며 목을 짚는 사람 (neck-pain.html)
142	clinic-i	bh-neck-1.jpg	316	460	632	920	warm	스마트폰을 내려다보는 사람 (neck-pain.html)
143	clinic-i	bh-neck-2.jpg	316	460	632	920	warm	침대 위 높은 베개 (neck-pain.html)
144	clinic-i	bh-neck-3.jpg	316	460	632	920	warm	책상에서 이마를 짚은 직장인 (neck-pain.html)
145	clinic-i	bh-neck-4.jpg	316	460	632	920	warm	의자에 오래 앉아 있는 뒷모습 (neck-pain.html)
146	clinic-i	step-neck-1.jpg	746	316	1492	632	warm	맥을 짚으며 문진하는 한의사 (neck-pain.html)
147	clinic-i	step-neck-2.jpg	746	316	1492	632	warm	초음파 검사 화면과 탐촉자 (neck-pain.html)
148	clinic-i	step-neck-3.jpg	746	316	1492	632	warm	자세 교정 운동을 안내하는 장면 (neck-pain.html)
149	clinic-i	pg-1.jpg	410	270	820	540	warm	옆에서 본 거북목 자세 (posture.html)
150	clinic-i	pg-2.jpg	410	270	820	540	warm	어깨가 앞으로 말린 뒷모습 (posture.html)
151	clinic-i	pg-3.jpg	410	270	820	540	warm	골반 높이를 비교하는 장면 (posture.html)
152	clinic-i	pg-4.jpg	410	270	820	540	warm	등 뒤에서 본 휜 척추 (posture.html)
153	clinic-i	dsw-1.jpg	460	610	920	1220	warm	체형 분석 장비 앞에 선 사람 (posture.html)
154	clinic-i	dsw-2.jpg	460	610	920	1220	warm	족저압 측정판 위의 두 발 (posture.html)
155	clinic-i	dsw-3.jpg	460	610	920	1220	warm	어깨 가동 범위를 재는 장면 (posture.html)
156	clinic-i	dsw-4.jpg	460	610	920	1220	warm	초음파 검사 화면 (posture.html)
157	clinic-i	tr-1.jpg	520	300	1040	600	warm	추나 교정 장면 (posture.html)
158	clinic-i	tr-2.jpg	520	300	1040	600	warm	어깨 근막을 이완하는 손 (posture.html)
159	clinic-i	tr-3.jpg	520	300	1040	600	warm	등에 놓인 침 (posture.html)
160	clinic-i	tr-4.jpg	520	300	1040	600	warm	매트 위 스트레칭 (posture.html)
161	clinic-i	thh-1a.jpg	316	260	632	520	warm	체형 측정 결과지 (posture.html)
162	clinic-i	thh-1b.jpg	404	514	808	1028	warm	장식 사진 (posture.html)
163	clinic-i	thh-2a.jpg	316	260	632	520	warm	부드럽게 목을 이완하는 손 (posture.html)
164	clinic-i	thh-2b.jpg	404	514	808	1028	warm	장식 사진 (posture.html)
165	clinic-i	thh-3a.jpg	316	260	632	520	warm	바른 자세로 앉아 일하는 사람 (posture.html)
166	clinic-i	thh-3b.jpg	404	514	808	1028	warm	장식 사진 (posture.html)
167	clinic-i	why-2.jpg	470	600	940	1200	warm	재활 치료실 전경 (rehab.html)
168	clinic-i	rty-1a.jpg	360	518	720	1036	warm	발목 보호대를 한 다리 (rehab.html)
169	clinic-i	rty-1b.jpg	360	518	720	1036	warm	장식 사진 (rehab.html)
170	clinic-i	rty-2a.jpg	360	518	720	1036	warm	무릎 수술 뒤 붕대를 감은 다리 (rehab.html)
171	clinic-i	rty-2b.jpg	360	518	720	1036	warm	장식 사진 (rehab.html)
172	clinic-i	tr-r1.jpg	520	300	1040	600	warm	약침 시술 장면 (rehab.html)
173	clinic-i	tr-r2.jpg	520	300	1040	600	warm	무릎 관절을 움직여 주는 치료 (rehab.html)
174	clinic-i	tr-r3.jpg	520	300	1040	600	warm	한약 탕약 (rehab.html)
175	clinic-i	tr-r4.jpg	520	300	1040	600	warm	밴드로 재활 운동을 하는 모습 (rehab.html)
176	clinic-i	thh-bg-r.jpg	1440	900	2880	1800	warm	장식 사진 (rehab.html)
177	clinic-i	thh-r1a.jpg	316	260	632	520	warm	관절 각도를 재는 장면 (rehab.html)
178	clinic-i	thh-r1b.jpg	404	514	808	1028	warm	장식 사진 (rehab.html)
179	clinic-i	thh-r2a.jpg	316	260	632	520	warm	천천히 무릎을 굽히는 환자 (rehab.html)
180	clinic-i	thh-r2b.jpg	404	514	808	1028	warm	장식 사진 (rehab.html)
181	clinic-i	thh-r3a.jpg	316	260	632	520	warm	집에서 스트레칭하는 모습 (rehab.html)
182	clinic-i	thh-r3b.jpg	404	514	808	1028	warm	장식 사진 (rehab.html)
183	clinic-i	uph-sh-mid.jpg	410	620	820	1240	warm	어깨 관절 구조 그림 (shoulder-pain.html)
184	clinic-i	bh-sh-1.jpg	316	460	632	920	warm	한쪽 어깨에 가방을 멘 사람 (shoulder-pain.html)
185	clinic-i	bh-sh-2.jpg	316	460	632	920	warm	높은 선반에 물건을 올리는 모습 (shoulder-pain.html)
186	clinic-i	bh-sh-3.jpg	316	460	632	920	warm	옆으로 누워 자는 사람 (shoulder-pain.html)
187	clinic-i	step-sh-1.jpg	746	316	1492	632	warm	맥을 짚으며 문진하는 한의사 (shoulder-pain.html)
188	clinic-i	step-sh-2.jpg	746	316	1492	632	warm	초음파 검사 화면과 탐촉자 (shoulder-pain.html)
189	clinic-i	step-sh-3.jpg	746	316	1492	632	warm	자세 교정 운동을 안내하는 장면 (shoulder-pain.html)
190	clinic-i	dxr-1.jpg	440	360	880	720	warm	빈 체중계 (detox.html)
191	clinic-i	dxr-2.jpg	440	360	880	720	warm	배를 감싼 두 손 (detox.html)
192	clinic-i	dxr-3.jpg	440	360	880	720	warm	거울 앞에서 얼굴을 살피는 사람 (detox.html)
193	clinic-i	eff-1.jpg	310	454	620	908	warm	장식 사진 (detox.html)
194	clinic-i	eff-2.jpg	310	454	620	908	warm	장식 사진 (detox.html)
195	clinic-i	eff-3.jpg	310	454	620	908	warm	장식 사진 (detox.html)
196	clinic-i	eff-4.jpg	310	454	620	908	warm	장식 사진 (detox.html)
197	clinic-i	diet-modal.jpg	450	550	900	1100	warm	장식 사진 (detox.html)
198	clinic-i	bacc-1.jpg	1000	530	2000	1060	warm	복부 비만형 관리 이미지 (diet-body-type.html)
199	clinic-i	bacc-2.jpg	1000	530	2000	1060	warm	하체 비만형 관리 이미지 (diet-body-type.html)
200	clinic-i	bacc-3.jpg	1000	530	2000	1060	warm	상체 비만형 관리 이미지 (diet-body-type.html)
201	clinic-i	bacc-4.jpg	1000	530	2000	1060	warm	전신 비만형 관리 이미지 (diet-body-type.html)
202	clinic-i	bacc-5.jpg	1000	530	2000	1060	warm	부분 고민형 관리 이미지 (diet-body-type.html)
203	clinic-i	fail-1.jpg	604	539	1208	1078	warm	똑같은 알약이 줄지어 놓인 모습 (diet-principle.html)
204	clinic-i	fail-2.jpg	604	539	1208	1078	warm	빈 접시 앞에 앉은 사람 (diet-principle.html)
205	clinic-i	fail-3.jpg	604	539	1208	1078	warm	지친 표정으로 소파에 기댄 사람 (diet-principle.html)
206	clinic-i	bax-1a.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
207	clinic-i	bax-1b.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
208	clinic-i	bax-2a.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
209	clinic-i	bax-2b.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
210	clinic-i	bax-3a.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
211	clinic-i	bax-3b.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
212	clinic-i	bax-4a.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
213	clinic-i	bax-4b.jpg	200	308	400	616	warm	장식 사진 (diet-principle.html)
214	clinic-i	dif-1a.jpg	431	340	862	680	warm	체성분 검사를 받는 모습 (diet-principle.html)
215	clinic-i	dif-1b.jpg	431	340	862	680	warm	체성분 검사를 받는 모습 (diet-principle.html)
216	clinic-i	dif-2.jpg	862	340	1724	680	warm	식단 기록을 함께 보는 상담 (diet-principle.html)
217	clinic-i	dif-3a.jpg	431	340	862	680	warm	맥을 짚는 한의사의 손 (diet-principle.html)
218	clinic-i	dif-3b.jpg	431	340	862	680	warm	맥을 짚는 한의사의 손 (diet-principle.html)
219	clinic-i	pill-1.jpg	540	400	1080	800	warm	작은 유리병에 담긴 한방 환 (diet-principle.html)
220	clinic-i	pill-2.jpg	466	260	932	520	warm	환을 손바닥에 올린 모습 (diet-principle.html)
221	clinic-i	pill-routine.jpg	420	260	840	520	warm	아침·점심·저녁 복용 시간을 나타낸 그림 (diet-principle.html)
222	clinic-i	dprog-1.jpg	380	550	760	1100	warm	장식 사진 (diet-principle.html)
223	clinic-i	dprog-2.jpg	380	550	760	1100	warm	장식 사진 (diet-principle.html)
224	clinic-i	dprog-3.jpg	380	550	760	1100	warm	장식 사진 (diet-principle.html)
225	clinic-i	tang-1.jpg	540	400	1080	800	warm	약탕기에서 달이는 한약 (diet-principle.html)
226	clinic-i	tang-2.jpg	466	260	932	520	warm	한약 재료를 계량하는 손 (diet-principle.html)
227	clinic-i	mq-1.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
228	clinic-i	mq-2.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
229	clinic-i	mq-3.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
230	clinic-i	mq-4.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
231	clinic-i	mq-5.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
232	clinic-i	mq-6.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
233	clinic-i	mq-7.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
234	clinic-i	mq-8.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
235	clinic-i	mq-9.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
236	clinic-i	mq-10.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
237	clinic-i	mq-11.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
238	clinic-i	mq-12.jpg	360	240	720	480	warm	장식 사진 (diet-principle.html)
239	clinic-i	wed-1.jpg	310	460	620	920	warm	웨딩드레스 뒷모습 (diet-situation.html)
240	clinic-i	wed-2.jpg	310	460	620	920	warm	부케를 든 손 (diet-situation.html)
241	clinic-i	wed-3.jpg	310	460	620	920	warm	웨딩 슈즈와 베일 (diet-situation.html)
242	clinic-i	wed-body.jpg	420	560	840	1120	warm	웨딩드레스 실루엣 그림 (diet-situation.html)
243	clinic-i	post-bg.jpg	1280	520	2560	1040	warm	장식 사진 (diet-situation.html)
244	clinic-i	meno-1.jpg	316	460	632	920	warm	창가에서 차를 마시는 중년 여성 (diet-situation.html)
245	clinic-i	meno-2.jpg	316	460	632	920	warm	정돈된 침실 (diet-situation.html)
246	clinic-i	meno-3.jpg	316	460	632	920	warm	다리를 올리고 쉬는 모습 (diet-situation.html)
247	clinic-i	meno-4.jpg	316	460	632	920	warm	복부에 손을 얹은 모습 (diet-situation.html)
248	clinic-i	work-1a.jpg	316	260	632	520	warm	모니터 앞에서 간식을 집는 손 (diet-situation.html)
249	clinic-i	work-1b.jpg	404	514	808	1028	warm	장식 사진 (diet-situation.html)
250	clinic-i	work-2a.jpg	316	260	632	520	warm	밤늦은 사무실 (diet-situation.html)
251	clinic-i	work-2b.jpg	404	514	808	1028	warm	장식 사진 (diet-situation.html)
252	clinic-i	work-3a.jpg	316	260	632	520	warm	회식 자리의 테이블 (diet-situation.html)
253	clinic-i	work-3b.jpg	404	514	808	1028	warm	장식 사진 (diet-situation.html)
